Table,Description
questions,"Holds individual questions with associated metadata. Each question has a unique `id`, a `name`, and the actual text of the question in the `question` field. The `options` field allows for an array of possible answers, catering to various question types indicated by the `type` field. Additional attributes include `no_of_stars` for rating questions, `status` to denote the question's current state, and `category` for organizational purposes, stored as JSON. The `rendering_data` field can store specifics on how the question should be presented. The `meta` field allows for extra information in JSON format. Creation and modification timestamps (`created_at`, `updated_at`) are tracked, while `deleted_at` supports soft deletion. User identifiers for the creator and last updater are stored in `created_by` and `updated_by`."
role_permission_mapping,"Maps roles to specific permissions within a system. Each entry consists of a unique combination of `role_title` and `permission_id`, ensuring that a role can be associated with multiple permissions. The `module` field specifies the application module related to the permission. The `request_type` field contains an array of HTTP request methods (e.g., GET, POST) that the permission applies to. The `api_path` field indicates the endpoint associated with the permission. Timestamps for creation and updates are tracked in `created_at` and `updated_at`, while `created_by` identifies the user who created the mapping."
sequelize_meta,"Stores metadata for Sequelize migrations. Each entry consists of a `name` that represents the name of a migration file that has been executed. This table helps Sequelize keep track of which migrations have been applied to the database, ensuring that migrations are executed in the correct order and preventing duplicate execution."
session_attendees,"Tracks attendees of sessions, specifically mentees. Each record includes an `id`, `mentee_id` representing the attendee, `session_id` for the associated session, `time_zone` indicating the mentee's time zone, timestamps for when they joined and left the session, a flag for whether feedback was skipped, and any relevant meeting information in JSON format. The `type` column defaults to 'ENROLLED', indicating the attendee's status."
session_enrollments,"Records the enrollment of mentees in specific sessions. Each entry consists of an `id`, `mentee_id` identifying the enrolled mentee, `session_id` linking to the session, and timestamps for when the enrollment was created and last updated. A `deleted_at` column is included for soft deletion of records. The primary key is a composite of `mentee_id` and `session_id`, ensuring uniqueness for each enrollment."
session_ownerships,"Tracks the ownership of sessions by users, allowing for different roles (e.g., mentor, mentee). Each entry consists of an `id`, `user_id` identifying the owner, `session_id` linking to the session, and timestamps for creation and updates. The `deleted_at` column is available for soft deletion. The primary key is a composite of `user_id`, `session_id`, and `type`, ensuring uniqueness for each ownership record."
sessions,"Stores information about sessions offered by mentors. Each session includes an `id`, `title`, `description`, and various attributes like `recommended_for`, `categories`, `medium`, and `image`. It also includes IDs for `mentor`, `mentor_organization`, and details about the session's timing (`start_date`, `end_date`, `started_at`, `completed_at`). Other attributes track session status, passwords for mentees and mentors, feedback question sets, and meeting information. The `visibility` column determines how sessions are shared, while the primary key is the `id`."
user_extensions,"Stores extended information about users, including their `designation`, `area_of_expertise`, `education_qualification`, and `experience`. The `rating`, `meta`, and `stats` columns hold various JSON data related to user performance and attributes. Visibility settings for the mentor (`mentor_visibility`), external sessions (`external_session_visibility`), and external mentors (`external_mentor_visibility`) are also included. The table tracks user contact details (`name`, `email`, `phone`) and allows for tagging with custom entities. The primary key is `user_id`."
user_roles,"Defines the roles assigned to users within the system. Each role has a unique `title`, an associated `user_type`, and a `status` indicating if the role is currently active. The table tracks the creation and last update timestamps (`created_at`, `updated_at`) and allows for soft deletion with the `deleted_at` field. The primary key is `id`, and the `title` field is unique across all roles."
users,"Stores user information within the system, including `name`, `email`, and `password`. Each user has a unique `id` associated with an `organization_id`, which is linked to the `organizations` table. The `roles` field is an array of integers representing assigned roles. Additional fields include `status`, `email_verified`, and user profile details such as `gender`, `about`, `location`, and `languages`. The table tracks timestamps for user creation and updates, and also records the `last_logged_in_at` time. Soft deletion is managed through the `deleted_at` field."
